98, KDT289, Ford, Fiesta
100, KDT286, Ford, Fiesta
142, HRL634, BMW, i3
143, HRL635, BMW, i3
147, JDN065, Fiat, Doblo
201, JJB564, Fiat, Ducato
204, JPG696, Fiat, Ducato
205, JPG695, Fiat, Ducato
207, JST188, Fiat, Ducato
208, JTR847, Fiat, Ducato
209, JTR850, Fiat, Ducato
210, LCT437, Fiat, Ducato
211, JZU517, Fiat, Ducato
212, KBG697, Fiat, Ducato
213, KBG701, Fiat, Ducato
214, KEP085, Fiat, Ducato
217, JSO942, Mini, One
219, JSO945, Mini, One
220, JSO947, Mini, One
221, JSO951, Mini, One
223, JSO953, Mini, One
227, JSO962, Mini, One
228, JSO963, Mini, One
229, JSO967, Mini, One
230, JSO968, Mini, One
380, KET348, Mini, One 5 doors
435, JHK870, Fiat, 500X
447, JHK871, Fiat, 500X
453, JHK875, Fiat, 500X
455, JHK896, Fiat, 500X
457, JHK897, Fiat, 500X
551, JJB857, Fiat, 500X
581, KFA551, Fiat, Fullback
584, JUE928, Fiat, Fullback
588, JUE910, Fiat, Fullback
590, KRU856, Fiat, Fullback
592, KBM094, Toyota, Yaris
599, JHK803, Fiat, 500X
603, JJB592, Fiat, 500X
606, KET337, Mini, One 5 doors
607, KET339, Mini, One 5 doors
608, KET340, Mini, One 5 doors
609, KET341, Mini, One 5 doors
610, KET342, Mini, One 5 doors
611, KET344, Mini, One 5 doors
612, KET336, Mini, One 5 doors
613, KET345, Mini, One 5 doors
614, KET335, Mini, One 5 doors
617, KDF527, Toyota, Yaris
618, KDF528, Toyota, Yaris
624, KET351, Mini, One 5 doors
625, KET354, Mini, One 5 doors
629, KET356, Mini, One 5 doors
630, KET357, Mini, One 5 doors
631, KET359, Mini, One 5 doors
632, KET360, Mini, One 5 doors
636, KET317, Mini, One 5 doors
637, KET315, Mini, One 5 doors
639, KET319, Mini, One 5 doors
640, KET327, Mini, One 5 doors
641, KET326, Mini, One 5 doors
642, KET329, Mini, One 5 doors
643, KET324, Mini, One 5 doors
644, KDF518, Toyota, Yaris
645, KET331, Mini, One 5 doors
646, KDF520, Toyota, Yaris
647, KET334, Mini, One 5 doors
654, KDF598, Toyota, Yaris
665, KDF522, Toyota, Yaris
667, KDF529, Toyota, Yaris
710, JHL668, VW, Golf
714, KFK607, Fiat, Ducato
719, BZZ1, Fiat, Multipla
728, KGE566, Mini, One 5 doors
729, KGE562, Mini, One 5 doors
744, KHJ124, Toyota, Yaris
745, KHJ126, Toyota, Yaris
746, KHJ127, Toyota, Yaris
747, KHJ128, Toyota, Yaris
748, KHJ129, Toyota, Yaris
749, KHJ132, Toyota, Yaris
750, KHJ133, Toyota, Yaris
751, KHJ134, Toyota, Yaris
774, KHG271, Fiat, Ducato
775, LDE245, Fiat, Ducato
776, KHG275, Fiat, Ducato
779, KHH625, BMW, X1
781, KHH627, BMW, X1
782, KHH628, BMW, X1
783, KHH629, BMW, X1
784, KHH630, BMW, X1
785, KHH631, BMW, X1
787, KHH633, BMW, X1
788, KHH635, BMW, X1
789, KJG782, Toyota, Yaris
790, KJG783, Toyota, Yaris
792, KJG789, Toyota, Yaris
794, KJG792, Toyota, Yaris
795, KJG793, Toyota, Yaris
796, KJG794, Toyota, Yaris
797, KJG795, Toyota, Yaris
798, KJG801, Toyota, Yaris
799, KJG802, Toyota, Yaris
800, KJG803, Toyota, Yaris
801, KJG805, Toyota, Yaris
802, KJG806, Toyota, Yaris
803, KJG807, Toyota, Yaris
804, KJG809, Toyota, Yaris
805, KJG810, Toyota, Yaris
806, KJG811, Toyota, Yaris
807, KJG813, Toyota, Yaris
808, KJG814, Toyota, Yaris
809, KJG817, Toyota, Yaris
810, KJG819, Toyota, Yaris
811, KJG820, Toyota, Yaris
820, KJJ230, Fiat, Ducato
822, KJJ231, Fiat, Ducato
823, KJJ232, Fiat, Ducato
825, KJH619, Toyota, Yaris
826, KTE905, Toyota, Yaris
827, KJH621, Toyota, Yaris
