142, HRL634, BMW, i3
147, JDN065, Fiat, Doblo
205, JPG695, Fiat, Ducato
207, JST188, Fiat, Ducato
208, JTR847, Fiat, Ducato
209, JTR850, Fiat, Ducato
210, LCT437, Fiat, Ducato
211, JZU517, Fiat, Ducato
212, KBG697, Fiat, Ducato
213, KBG701, Fiat, Ducato
214, KEP085, Fiat, Ducato
230, JSO968, Mini, One
380, KET348, Mini, One 5 doors
606, KET337, Mini, One 5 doors
607, KET339, Mini, One 5 doors
608, KET340, Mini, One 5 doors
609, KET341, Mini, One 5 doors
611, KET344, Mini, One 5 doors
612, KET336, Mini, One 5 doors
613, KET345, Mini, One 5 doors
614, KET335, Mini, One 5 doors
624, KET351, Mini, One 5 doors
625, KET354, Mini, One 5 doors
629, KET356, Mini, One 5 doors
630, KET357, Mini, One 5 doors
632, KET360, Mini, One 5 doors
636, KET317, Mini, One 5 doors
637, KET315, Mini, One 5 doors
639, KET319, Mini, One 5 doors
640, KET327, Mini, One 5 doors
642, KET329, Mini, One 5 doors
643, KET324, Mini, One 5 doors
645, KET331, Mini, One 5 doors
647, KET334, Mini, One 5 doors
710, JHL668, VW, Golf
714, KFK607, Fiat, Ducato
719, BZZ1, Fiat, Multipla
728, KGE566, Mini, One 5 doors
744, KHJ124, Toyota, Yaris
746, KHJ127, Toyota, Yaris
747, KHJ128, Toyota, Yaris
748, KHJ129, Toyota, Yaris
749, KHJ132, Toyota, Yaris
750, KHJ133, Toyota, Yaris
751, KHJ134, Toyota, Yaris
774, KHG271, Fiat, Ducato
775, LDE245, Fiat, Ducato
776, KHG275, Fiat, Ducato
779, KHH625, BMW, X1
781, KHH627, BMW, X1
782, KHH628, BMW, X1
783, KHH629, BMW, X1
784, KHH630, BMW, X1
785, KHH631, BMW, X1
787, KHH633, BMW, X1
788, KHH635, BMW, X1
789, KJG782, Toyota, Yaris
790, KJG783, Toyota, Yaris
792, KJG789, Toyota, Yaris
794, KJG792, Toyota, Yaris
795, KJG793, Toyota, Yaris
796, KJG794, Toyota, Yaris
797, KJG795, Toyota, Yaris
798, KJG801, Toyota, Yaris
799, KJG802, Toyota, Yaris
800, KJG803, Toyota, Yaris
801, KJG805, Toyota, Yaris
802, KJG806, Toyota, Yaris
803, KJG807, Toyota, Yaris
804, KJG809, Toyota, Yaris
805, KJG810, Toyota, Yaris
806, KJG811, Toyota, Yaris
807, KJG813, Toyota, Yaris
808, KJG814, Toyota, Yaris
809, KJG817, Toyota, Yaris
810, KJG819, Toyota, Yaris
811, KJG820, Toyota, Yaris
820, LGZ346, Fiat, Ducato
822, KJJ231, Fiat, Ducato
823, KJJ232, Fiat, Ducato
825, KJH619, Toyota, Yaris
826, KTE905, Toyota, Yaris
827, KJH621, Toyota, Yaris
830, KJH628, Toyota, Yaris
831, KJH634, Toyota, Yaris
832, KJH636, Toyota, Yaris
833, KJH637, Toyota, Yaris
834, KJH638, Toyota, Yaris
835, KJH639, Toyota, Yaris
836, KJH640, Toyota, Yaris
837, KJH642, Toyota, Yaris
838, KJH644, Toyota, Auris
847, KJV288, Toyota, Auris
853, KHK084, Fiat, Ducato
854, KHK085, Fiat, Ducato
855, KHK086, Fiat, Ducato
856, KHK092, Fiat, Ducato
858, KJK913, Fiat, Talento
861, KHK840, Fiat, Talento
862, KHK836, Fiat, Talento
1068, KMS395, Toyota, Auris
1069, KMS396, Toyota, Auris
1070, KMS397, Toyota, Auris
1071, KMS398, Toyota, Auris
1072, KMS399, Toyota, Auris
1073, KMS401, Toyota, Auris
1074, KMS402, Toyota, Auris
1075, KMS403, Toyota, Auris
1132, KJP047, VW, Golf
1133, KJP048, VW, Golf
1134, KJP051, VW, Golf
1135, KJP052, VW, Golf
1136, KJP054, VW, Golf
1137, KJP056, VW, Golf
1138, KJP058, VW, Golf
1141, KMA229, VW, Golf
1142, KMA230, VW, Golf
1143, KMA231, VW, Golf
1144, KMA234, VW, Golf
1145, KMA236, VW, Golf
1146, KMA237, VW, Golf
1147, KMA238, VW, Golf
1148, KMA240, VW, Golf
1149, KMA241, VW, Golf
1152, KJP065, VW, Golf
1155, KJP069, VW, Golf
1156, KJP072, VW, Golf
1157, KJP073, VW, Golf
1158, KJP074, VW, Golf
1160, KJP076, VW, Golf
1161, KMA217, VW, Golf
1162, KMA221, VW, Golf
1163, KMA225, VW, Golf
1164, KMA226, VW, Golf
1165, KMA228, VW, Golf
1166, KMF455, VW, Golf
1167, KMF457, VW, Golf
1168, LEZ608, VW, Golf
1169, KMF449, VW, Golf
1170, KMF450, VW, Golf
1171, KMF453, VW, Golf
1172, KMF447, VW, Golf
1173, KMF451, VW, Golf
1174, KMF454, VW, Golf
1175, KMF452, VW, Golf
1201, KMF437, VW, Golf
1202, KMF439, VW, Golf
1204, KMF442, VW, Golf
1205, KMF445, VW, Golf
1206, KMF446, VW, Golf
1219, KJU265, VW, Golf
1220, KJU266, VW, Golf
1221, KJU268, VW, Golf
1222, KJU270, VW, Golf
1223, KJU271, VW, Golf
1224, KJU273, VW, Golf
1225, KMA806, VW, Golf
1226, KMA810, VW, Golf
1227, KMA812, VW, Golf
1228, KMA813, VW, Golf
1257, KMH012, VW, Golf
1259, KMG410, VW, Golf
1260, KMG414, VW, Golf
1272, KNG896, Toyota, Auris
1273, KNG920, Toyota, Auris
1274, KNG921, Toyota, Auris
1275, KNG923, Toyota, Auris
1276, KNG924, Toyota, Auris
1277, KNG927, Toyota, Auris
1278, KNG929, Toyota, Auris
1279, KNG930, Toyota, Auris
1280, KNG931, Toyota, Auris
1302, KNG935, Toyota, Auris
1308, KNS498, VW, Polo
1309, KNS486, VW, Polo
1315, KOK607, Toyota, Auris
1316, KOK608, Toyota, Auris
1317, KOK609, Toyota, Auris
1318, KOK611, Toyota, Auris
1319, KOK612, Toyota, Auris
1320, LEZ609, Toyota, Auris
1321, KOK615, Toyota, Auris
1322, KOK616, Toyota, Auris
1324, KOK618, Toyota, Auris
1325, KOK619, Toyota, Auris
1326, KOK620, Toyota, Auris
1327, KOK621, Toyota, Auris
1328, KOK624, Toyota, Auris
