147, JDN065, Fiat, Doblo,
207, JST188, Fiat, Ducato,
208, JTR847, Fiat, Ducato,
209, JTR850, Fiat, Ducato,
210, LCT437, Fiat, Ducato,
211, JZU517, Fiat, Ducato,
212, KBG697, Fiat, Ducato,
213, KBG701, Fiat, Ducato,
214, KEP085, Fiat, Ducato,
380, KET348, Mini, One 5 door,
606, KET337, Mini, One 5 door,
607, KET339, Mini, One 5 door,
608, KET340, Mini, One 5 door,
609, KET341, Mini, One 5 door,
610, KET342, Mini, One 5 door,
611, KET344, Mini, One 5 door,
612, KET336, Mini, One 5 door,
613, KET345, Mini, One 5 door,
614, KET335, Mini, One 5 door,
624, KET351, Mini, One 5 door,
625, KET354, Mini, One 5 door,
629, KET356, Mini, One 5 door,
630, KET357, Mini, One 5 door,
631, KET359, Mini, One 5 door,
632, KET360, Mini, One 5 door,
636, KET317, Mini, One 5 door,
637, KET315, Mini, One 5 door,
639, KET319, Mini, One 5 door,
641, KET326, Mini, One 5 door,
642, KET329, Mini, One 5 door,
643, KET324, Mini, One 5 door,
645, KET331, Mini, One 5 door,
647, KET334, Mini, One 5 door,
710, JHL668, VW, Golf,
714, KFK607, Fiat, Ducato,
719, BZZ1, Fiat, Multipla,
728, KGE566, Mini, One 5 door,
729, KGE562, Mini, One 5 door,
774, KHG271, Fiat, Ducato,
775, LDE245, Fiat, Ducato,
776, KHG275, Fiat, Ducato,
779, KHH625, BMW, X1,
781, KHH627, BMW, X1,
782, KHH628, BMW, X1,
783, KHH629, BMW, X1,
784, KHH630, BMW, X1,
785, KHH631, BMW, X1,
787, KHH633, BMW, X1,
788, KHH635, BMW, X1,
820, LGZ346, Fiat, Ducato,
822, KJJ231, Fiat, Ducato,
823, KJJ232, Fiat, Ducato,
853, KHK084, Fiat, Ducato,
854, KHK085, Fiat, Ducato,
855, KHK086, Fiat, Ducato,
856, KHK092, Fiat, Ducato,
858, KJK913, Fiat, Talento,
861, KHK840, Fiat, Talento,
862, KHK836, Fiat, Talento,
1137, KJP056, VW, Golf,
1138, KJP058, VW, Golf,
1157, KJP073, VW, Golf,
1160, KJP076, VW, Golf,
1166, KMF455, VW, Golf,
1167, KMF457, VW, Golf,
1168, LEZ608, VW, Golf,
1169, KMF449, VW, Golf,
1172, KMF447, VW, Golf,
1173, KMF451, VW, Golf,
1174, KMF454, VW, Golf,
1175, KMF452, VW, Golf,
1204, KMF442, VW, Golf,
1205, KMF445, VW, Golf,
1219, KJU265, VW, Golf,
1220, KJU266, VW, Golf,
