212, KBG697, Fiat, Ducato,
213, KBG701, Fiat, Ducato,
214, KEP085, Fiat, Ducato,
710, JHL668, VW, Golf,
714, KFK607, Fiat, Ducato,
774, KHG271, Fiat, Ducato,
775, LDE245, Fiat, Ducato,
776, KHG275, Fiat, Ducato,
779, KHH625, BMW, X1,
781, KHH627, BMW, X1,
782, KHH628, BMW, X1,
783, KHH629, BMW, X1,
784, KHH630, BMW, X1,
785, KHH631, BMW, X1,
820, LGZ346, Fiat, Ducato,
823, KJJ232, Fiat, Ducato,
854, KHK085, Fiat, Ducato,
1369, KNB654, Fiat, Ducato,
1370, KNB656, Fiat, Ducato,
1371, KNB657, Fiat, Ducato,
1396, KOR513, Toyota, Auris,
1404, KOR556, Toyota, Auris,
1425, KOS136, Fiat, Ducato,
1426, KOS137, Fiat, Ducato,
1427, KOS133, Fiat, Ducato,
1488, KNV551, BMW, X1,
1489, KNV548, BMW, X1,
1490, KNV553, BMW, X1,
1491, KNV549, BMW, X1,
1492, KNV546, BMW, X1,
1494, KNV559, BMW, X1,
1495, KNV558, BMW, X1,
1504, KOC620, BMW, X1,
1654, KRL982, BMW, X1,
1676, KSE214, Fiat, Ducato,
1677, KSE211, Fiat, Ducato,
1678, KSE206, Fiat, Ducato,
1679, KSE217, Fiat, Ducato,
1680, LIL721, Fiat, Ducato,
1698, KSC283, Fiat, Ducato,
1699, KSC285, Fiat, Ducato,
1700, KSC286, Fiat, Ducato,
1701, KSC284, Fiat, Ducato,
1702, KUS740, Fiat, Ducato,
1763, KTT981, VW, Polo,
1766, KTT986, VW, Polo,
1767, KTT992, VW, Polo,
1774, KUD728, VW, Golf,
1775, KUD725, VW, Golf,
1805, KUO339, VW, Polo,
1806, KUO336, VW, Polo,
1807, KUO341, VW, Polo,
1808, KUO329, VW, Polo,
1809, KUO344, VW, Polo,
1810, KUO379, VW, Polo,
1811, KUO374, VW, Polo,
1812, KUO371, VW, Polo,
1815, KUO348, VW, Polo,
1818, KUO356, VW, Polo,
1819, KUO359, VW, Polo,
1820, KUO361, VW, Polo,
1821, KUO351, VW, Polo,
1842, KUP936, VW, Golf,
1844, KUP922, VW, Golf,
1846, KUP935, VW, Golf,
1849, KUP914, VW, Golf,
1882, KZP438, Nissan, Qashqai,
1890, KZT722, VW, Golf,
1891, KZT726, VW, Golf,
1892, KZT730, VW, Golf,
1893, KZT694, VW, Golf,
1894, KZT702, VW, Golf,
1895, KZT706, VW, Golf,
1897, KZT720, VW, Golf,
1898, KZT691, VW, Golf,
1899, KZT692, VW, Golf,
1901, KZT704, VW, Golf,
1903, LAH422, Fiat, Ducato,
1904, LAH423, Fiat, Ducato,
2215, LAG855, Nissan, Qashqai,
2218, LAG862, Nissan, Qashqai,
2220, LAH226, Nissan, Qashqai,
2255, KZC380, BMW, X1,
2353, LAS312, Fiat, Ducato,
2354, LAS311, Fiat, Ducato,
2355, LAS307, Fiat, Ducato,
2356, LAS303, Fiat, Ducato,
2357, LAS305, Fiat, Ducato,
2513, LAN946, VW, Golf,
2514, LAN915, VW, Golf,
2515, LAN963, VW, Golf,
2516, LAN901, VW, Golf,
2517, LAN918, VW, Golf,
2518, LAN944, VW, Golf,
2519, LAN916, VW, Golf,
2520, LAN920, VW, Golf,
2521, LAN943, VW, Golf,
2523, LAN962, VW, Golf,
2524, LAN968, VW, Golf,
2525, LAN961, VW, Golf,
2526, LAN937, VW, Golf,
2527, LAN964, VW, Golf,
2528, LAN942, VW, Golf,
2529, LAN929, VW, Golf,
2530, LOB852, VW, Golf,
2531, LAN924, VW, Golf,
2533, LAN893, VW, Golf,
2534, LAN913, VW, Golf,
2535, LAN889, VW, Golf,
2536, LAN956, VW, Golf,
2537, LAN953, VW, Golf,
2538, LAN933, VW, Golf,
2539, LAN890, VW, Golf,
2540, LAN904, VW, Golf,
2541, LAN954, VW, Golf,
2542, LAN925, VW, Golf,
2543, LAN907, VW, Golf,
2544, LAN897, VW, Golf,
2546, LAN922, VW, Golf,
2547, LAN895, VW, Golf,
2548, LDE599, VW, Golf,
2549, LAN951, VW, Golf,
2551, LAN930, VW, Golf,
2552, LAN952, VW, Golf,
2554, LAN912, VW, Golf,
2558, LAN923, VW, Golf,
2559, LAN926, VW, Golf,
2561, LAN931, VW, Golf,
2563, LAN936, VW, Golf,
2564, LAN891, VW, Golf,
2567, LAN894, VW, Golf,
2569, LAN899, VW, Golf,
2570, LAN902, VW, Golf,
2571, LAN903, VW, Golf,
2574, LAO016, Toyota, Yaris,
2575, LAO019, Toyota, Yaris,
2576, LAO024, Toyota, Yaris,
2577, LAO026, Toyota, Yaris,
2578, LAO029, Toyota, Yaris,
2579, LAO032, Toyota, Yaris,
